hg
Chip Chan	RMS
2 45	5.41	244
2 48	5.14	251
2 49	5.11	255
1 44	4.94	219
2 46	4.83	240
2 62	4.79	244
2 55	4.79	244
2 40	4.75	245
2 57	4.73	246
2 13	4.70	252
2 25	4.69	257
2 50	4.65	241
2 36	4.60	248
2 53	4.58	244
2 28	4.56	246
2 52	4.54	240
2 22	4.54	248
2 2	4.46	242
2 10	4.42	244
2 38	4.39	244
2 12	4.37	249
2 24	4.36	246
2 18	4.35	243
2 37	4.33	237
1 45	4.32	230
2 26	4.32	229
1 46	4.28	235
2 54	4.28	231
2 44	4.24	250
2 41	4.22	258
2 20	4.21	244
2 21	4.19	244
2 56	4.18	238
2 4	4.16	240
2 60	4.14	244
2 61	4.12	252
2 0	4.10	242
2 42	4.10	251
0 14	4.05	223
2 29	4.04	251
2 14	4.04	251
2 5	4.03	244
1 48	4.02	223
2 17	4.00	256
0 38	3.92	225
1 10	3.90	230
0 56	3.90	226
0 17	3.90	214
1 38	3.89	225
0 16	3.89	222
0 4	3.88	218
0 41	3.87	218
2 32	3.86	260
0 40	3.85	226
0 46	3.82	209
1 13	3.81	225
2 33	3.81	241
0 24	3.81	231
1 12	3.80	224
1 25	3.79	228
1 18	3.79	220
2 58	3.78	249
0 32	3.77	224
1 37	3.76	232
2 34	3.75	241
0 25	3.74	215
1 52	3.73	234
0 9	3.73	227
0 57	3.72	220
3 17	3.72	230
1 49	3.72	231
3 16	3.71	233
1 26	3.69	239
1 28	3.69	229
1 32	3.67	223
0 6	3.65	223
2 9	3.65	242
1 24	3.64	227
1 36	3.63	235
0 42	3.63	222
1 21	3.62	224
1 22	3.62	227
0 52	3.62	220
2 35	3.61	252
0 26	3.60	228
0 33	3.60	214
0 18	3.59	221
2 1	3.59	234
3 38	3.59	235
2 16	3.58	242
0 22	3.56	210
2 6	3.54	247
0 8	3.54	224
3 18	3.53	225
0 29	3.53	228
0 45	3.52	219
1 50	3.52	219
3 14	3.51	227
1 30	3.49	230
2 51	3.49	255
0 37	3.48	223
0 20	3.45	210
2 63	3.44	244
2 39	3.43	253
2 30	3.43	239
2 15	3.43	246
2 8	3.43	233
0 53	3.42	234
0 54	3.41	215
1 42	3.41	224
0 44	3.40	223
3 42	3.40	228
3 41	3.39	219
0 21	3.39	217
2 27	3.39	243
0 61	3.37	231
3 24	3.36	231
3 22	3.36	235
1 56	3.35	227
2 7	3.34	247
2 59	3.34	247
3 37	3.34	227
1 20	3.33	233
1 53	3.32	229
2 23	3.31	246
3 52	3.30	226
1 14	3.30	222
3 40	3.30	229
3 21	3.30	237
3 9	3.28	235
2 3	3.28	244
2 19	3.28	248
1 17	3.26	227
3 44	3.24	218
3 6	3.24	235
0 2	3.23	234
0 28	3.23	218
1 54	3.21	219
1 40	3.21	224
3 54	3.21	237
3 45	3.20	232
0 1	3.19	212
3 46	3.19	226
0 48	3.19	233
2 47	3.19	241
3 25	3.17	228
2 11	3.16	240
0 0	3.16	235
1 16	3.15	232
3 32	3.15	226
0 49	3.14	227
2 43	3.13	238
3 26	3.13	235
0 5	3.13	217
0 34	3.13	220
1 41	3.12	233
2 31	3.12	239
3 53	3.11	228
3 50	3.11	217
3 29	3.10	226
0 13	3.10	225
0 62	3.10	217
0 50	3.09	223
1 9	3.09	222
1 2	3.09	219
3 30	3.09	232
3 28	3.08	226
0 36	3.07	226
3 56	3.07	227
3 7	3.06	230
0 55	3.06	224
0 30	3.05	229
0 10	3.05	210
3 36	3.03	232
0 60	3.02	209
3 20	3.01	219
3 2	2.98	231
0 12	2.97	225
1 5	2.96	226
1 34	2.96	224
1 33	2.92	220
1 60	2.92	235
1 8	2.92	214
1 4	2.92	225
1 57	2.91	222
3 4	2.90	230
1 29	2.90	229
1 62	2.90	236
3 48	2.88	230
0 58	2.87	221
1 7	2.87	221
0 19	2.86	218
1 1	2.84	219
1 0	2.83	222
0 39	2.83	225
0 7	2.82	224
0 47	2.82	223
3 62	2.81	221
0 11	2.81	225
3 60	2.81	227
0 35	2.81	215
0 51	2.81	223
3 8	2.81	230
0 59	2.81	223
0 63	2.80	226
3 57	2.80	223
0 23	2.79	218
3 0	2.79	238
1 61	2.79	213
0 15	2.78	219
1 55	2.78	219
0 27	2.77	225
0 43	2.77	229
3 34	2.77	239
1 6	2.76	221
3 49	2.76	227
3 55	2.76	221
3 5	2.75	232
0 3	2.75	217
3 33	2.74	232
0 31	2.72	219
1 15	2.72	223
3 61	2.71	224
1 63	2.69	211
1 58	2.68	224
3 13	2.66	230
3 12	2.66	224
1 47	2.64	226
1 27	2.60	217
1 35	2.60	224
3 1	2.59	234
1 43	2.58	232
1 19	2.57	216
1 11	2.57	232
3 43	2.57	219
1 39	2.55	223
1 51	2.55	226
1 31	2.55	237
3 58	2.54	226
1 23	2.52	236
3 11	2.52	228
1 59	2.50	218
3 63	2.50	223
3 10	2.48	229
3 51	2.47	220
3 27	2.46	237
1 3	2.46	234
3 23	2.45	230
3 47	2.43	227
3 19	2.43	227
3 59	2.43	233
3 3	2.43	236
3 15	2.41	227
3 35	2.40	230
3 39	2.37	230
3 31	2.35	233
